student_id,anomaly_label,attendance_rate,avg_grade,grade_std,avg_lms_time,avg_logins,avg_assignments,avg_forum_posts
STU0001,Normal,0.7906976744186046,2.0072222222222225,0.3963332756146992,152.8,5.15,1.75,1.35
STU0002,Normal,0.6976744186046512,2.46,0.4160929383362968,205.9,6.95,2.75,1.1
STU0003,Normal,0.7441860465116279,2.843684210526316,0.4775773413375725,214.7,7.4,2.95,2.7
STU0004,Normal,0.8604651162790697,3.1325,0.3627395760046041,248.55,9.25,4.0,2.5
STU0005,Normal,0.7441860465116279,2.0985714285714288,0.4484226322821553,173.25,5.6,1.8,1.75
STU0006,Normal,0.6511627906976745,2.116470588235294,0.4359894089377428,163.85,5.2,2.25,1.65
STU0007,Normal,0.7441860465116279,2.4305882352941177,0.5514919603701773,183.45,6.85,2.9,0.8
STU0008,Normal,0.8837209302325582,3.200625,0.4703115102425909,248.5,9.0,4.0,2.45
STU0009,Normal,0.7674418604651163,1.9821052631578944,0.5167159003141154,153.35,6.2,2.1,1.7
STU0010,Normal,0.5581395348837209,1.452777777777778,0.5067172962319854,118.9,4.1,2.0,1.6
STU0011,Normal,0.6744186046511628,2.639411764705882,0.4885497746933686,183.7,6.6,2.95,1.3
STU0012,Normal,0.6744186046511628,2.4417647058823526,0.3974014861276573,170.7,6.85,2.1,1.5
STU0013,Normal,0.7209302325581395,3.283125,0.5058948342623528,260.25,9.15,4.3,2.7
STU0014,Normal,0.9069767441860463,3.708235294117647,0.3202974261159002,301.8,10.8,3.75,2.65
STU0015,Normal,0.9302325581395348,3.56,0.4054803148295682,274.45,9.9,4.0,2.85
STU0016,Normal,0.7674418604651163,1.967619047619048,0.3811155305403435,140.2,6.25,2.2,1.45
STU0017,Normal,0.9069767441860463,3.62,0.2571792691306751,276.1,10.8,3.95,3.05
STU0018,Normal,0.6511627906976745,2.0358823529411763,0.4052631679466043,157.25,5.9,2.15,1.45
STU0019,Normal,0.7209302325581395,2.51875,0.4575132056381906,180.75,6.35,2.8,1.3
STU0020,Normal,0.8837209302325582,3.398,0.4946301116677199,250.5,9.55,4.0,2.95
STU0021,Normal,0.8372093023255814,2.5644444444444443,0.4432397070530761,208.2,7.4,2.95,1.3
STU0022,Anomaly,0.9302325581395348,3.8129166666666663,0.27025719097808,308.1,10.3,4.35,2.7
STU0023,Normal,0.9069767441860463,3.266428571428571,0.522679592144132,254.5,9.4,3.9,2.6
STU0024,Normal,0.6046511627906976,2.5358823529411763,0.4491110500690421,188.95,6.5,2.9,1.8
STU0025,Normal,0.813953488372093,3.444761904761905,0.4728278655876686,256.95,9.7,4.15,3.05
